"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","3","7111","56","0","2023","1","N","Alabama -- Statewide","Local Government","NAICS 7111 Performing arts companies","State, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",5.91,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","7111","56","0","2023","2","N","Alabama -- Statewide","Local Government","NAICS 7111 Performing arts companies","State, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",5.86,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","7111","56","0","2023","3","N","Alabama -- Statewide","Local Government","NAICS 7111 Performing arts companies","State, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",5.87,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","7111","56","0","2023","1","","Alabama -- Statewide","Private","NAICS 7111 Performing arts companies","State, NAICS 4-digit -- by ownership sector","All establishment sizes",85,763,760,768,6481094,4384522,66932,653,"",0.53,0.49,0.44,0.44,0.39,0.54,0.76,0.86,"",-3,-3.4,159,26.3,-25,-3.2,18,2.4,1224782,23.3,589145,15.5,-56414,-45.7,86,15.2
"01000","5","7111","56","0","2023","2","","Alabama -- Statewide","Private","NAICS 7111 Performing arts companies","State, NAICS 4-digit -- by ownership sector","All establishment sizes",87,673,852,548,6044694,1220801,15789,673,"",0.53,0.38,0.47,0.32,0.33,0.48,0.48,0.85,"",5,6.1,-100,-12.9,146,20.7,-87,-13.7,393302,7.0,-411204,-25.2,-24266,-60.6,56,9.1
"01000","5","7111","56","0","2023","3","","Alabama -- Statewide","Private","NAICS 7111 Performing arts companies","State, NAICS 4-digit -- by ownership sector","All establishment sizes",85,596,645,771,5436795,881047,11315,624,"",0.51,0.36,0.39,0.45,0.30,0.43,0.43,0.75,"",4,4.9,68,12.9,65,11.2,148,23.8,573524,11.8,28377,3.3,-10500,-48.1,-24,-3.7
"01003","3","7111","76","0","2023","1","N","Baldwin County, Alabama","Local Government","NAICS 7111 Performing arts companies","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",112.13,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","3","7111","76","0","2023","2","N","Baldwin County, Alabama","Local Government","NAICS 7111 Performing arts companies","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",110.60,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","3","7111","76","0","2023","3","N","Baldwin County, Alabama","Local Government","NAICS 7111 Performing arts companies","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",109.97,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","7111","76","0","2023","1","N","Baldwin County, Alabama","Private","NAICS 7111 Performing arts companies","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",0.47,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","7111","76","0","2023","2","N","Baldwin County, Alabama","Private","NAICS 7111 Performing arts companies","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",0.46,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","7111","76","0","2023","3","N","Baldwin County, Alabama","Private","NAICS 7111 Performing arts companies","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.34,0,0,0,0,0,0,0,"N",-1,-25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","7111","76","0","2023","1","N","Bibb County, Alabama","Private","NAICS 7111 Performing arts companies","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.28,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","7111","76","0","2023","2","N","Bibb County, Alabama","Private","NAICS 7111 Performing arts companies","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.21,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","7111","76","0","2023","3","N","Bibb County, Alabama","Private","NAICS 7111 Performing arts companies","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.17,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
