"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","71132","57","0","2023","1","","Alabama -- Statewide","Private","NAICS 71132 Promoters of performing arts, sports, and similar events without facilities","State, NAICS 5-digit -- by ownership sector","All establishment sizes",62,275,320,334,4937656,2032312,18539,1227,"",0.78,0.64,0.70,0.70,0.73,0.70,0.92,1.07,"",9,17.0,20,7.8,9,2.9,33,11.0,820020,19.9,230822,12.8,-16335,-46.8,131,12.0
"01000","5","71132","57","0","2023","2","","Alabama -- Statewide","Private","NAICS 71132 Promoters of performing arts, sports, and similar events without facilities","State, NAICS 5-digit -- by ownership sector","All establishment sizes",67,347,341,326,5475690,491687,2967,1246,"",0.83,0.69,0.61,0.56,0.78,0.58,0.39,1.27,"",12,21.8,-64,-15.6,-43,-11.2,17,5.5,291158,5.6,-259628,-34.6,-10065,-77.2,162,14.9
"01000","5","71132","57","0","2023","3","","Alabama -- Statewide","Private","NAICS 71132 Promoters of performing arts, sports, and similar events without facilities","State, NAICS 5-digit -- by ownership sector","All establishment sizes",68,337,296,531,5575915,521292,3030,1105,"",0.83,0.54,0.48,0.86,0.74,0.67,0.39,1.18,"",11,19.3,55,19.5,4,1.4,30,6.0,739792,15.3,15513,3.1,-3777,-55.5,67,6.5
"01003","5","71132","77","0","2023","1","","Baldwin County, Alabama","Private","NAICS 71132 Promoters of performing arts, sports, and similar events without facilities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,4,7,6,59486,36802,80,808,"",0.72,0.24,0.39,0.32,0.28,0.32,0.10,0.89,"",0,0.0,1,33.3,4,133.3,3,100.0,37143,166.2,21312,137.6,-35,-30.4,235,41.0
"01003","5","71132","77","0","2023","2","","Baldwin County, Alabama","Private","NAICS 71132 Promoters of performing arts, sports, and similar events without facilities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,7,7,7,103257,47523,121,1135,"",0.93,0.35,0.31,0.29,0.44,1.12,0.36,1.42,"",1,33.3,3,75.0,-46,-86.8,1,16.7,-18440,-15.2,-41132,-46.4,-504,-80.6,689,154.5
"01003","5","71132","77","0","2023","3","","Baldwin County, Alabama","Private","NAICS 71132 Promoters of performing arts, sports, and similar events without facilities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,5,5,5,74996,9023,20,1154,"",0.91,0.20,0.20,0.20,0.29,0.24,0.06,1.46,"",1,33.3,1,25.0,2,66.7,1,25.0,44339,144.6,5431,151.2,-8,-28.6,511,79.5
"01031","5","71132","77","0","2023","1","N","Coffee County, Alabama","Private","NAICS 71132 Promoters of performing arts, sports, and similar events without facilities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.50,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","5","71132","77","0","2023","2","N","Coffee County, Alabama","Private","NAICS 71132 Promoters of performing arts, sports, and similar events without facilities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.46,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","5","71132","77","0","2023","3","N","Coffee County, Alabama","Private","NAICS 71132 Promoters of performing arts, sports, and similar events without facilities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.42,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01043","5","71132","77","0","2023","1","N","Cullman County, Alabama","Private","NAICS 71132 Promoters of performing arts, sports, and similar events without facilities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.88,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
