"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","71141","57","0","2023","1","","Alabama -- Statewide","Private","NAICS 71141 Agents and managers for artists, athletes, entertainers, and other public figures","State, NAICS 5-digit -- by ownership sector","All establishment sizes",25,38,37,37,810938,286554,2132,1671,"",0.29,0.10,0.09,0.09,0.08,0.12,0.10,0.86,"",0,0.0,6,18.8,4,12.1,-1,-2.6,202962,33.4,24486,9.3,-1904,-47.2,309,22.7
"01000","5","71141","57","0","2023","2","","Alabama -- Statewide","Private","NAICS 71141 Agents and managers for artists, athletes, entertainers, and other public figures","State, NAICS 5-digit -- by ownership sector","All establishment sizes",25,38,38,37,740828,46571,176,1513,"",0.29,0.09,0.09,0.09,0.08,0.12,0.03,0.83,"",1,4.2,4,11.8,1,2.7,1,2.8,102919,16.1,3701,8.6,-593,-77.1,137,10.0
"01000","5","71141","57","0","2023","3","","Alabama -- Statewide","Private","NAICS 71141 Agents and managers for artists, athletes, entertainers, and other public figures","State, NAICS 5-digit -- by ownership sector","All establishment sizes",26,37,36,36,836846,40124,212,1772,"",0.29,0.09,0.09,0.09,0.09,0.14,0.05,1.01,"",2,8.3,2,5.7,2,5.9,2,5.9,68414,8.9,21859,119.7,-152,-41.8,50,2.9
"01003","5","71141","77","0","2023","1","N","Baldwin County, Alabama","Private","NAICS 71141 Agents and managers for artists, athletes, entertainers, and other public figures","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.22,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","71141","77","0","2023","2","N","Baldwin County, Alabama","Private","NAICS 71141 Agents and managers for artists, athletes, entertainers, and other public figures","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.22,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","71141","77","0","2023","3","N","Baldwin County, Alabama","Private","NAICS 71141 Agents and managers for artists, athletes, entertainers, and other public figures","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.21,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01051","5","71141","77","0","2023","1","N","Elmore County, Alabama","Private","NAICS 71141 Agents and managers for artists, athletes, entertainers, and other public figures","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.07,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01051","5","71141","77","0","2023","2","N","Elmore County, Alabama","Private","NAICS 71141 Agents and managers for artists, athletes, entertainers, and other public figures","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.05,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01051","5","71141","77","0","2023","3","N","Elmore County, Alabama","Private","NAICS 71141 Agents and managers for artists, athletes, entertainers, and other public figures","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.04,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01073","5","71141","77","0","2023","1","","Jefferson County, Alabama","Private","NAICS 71141 Agents and managers for artists, athletes, entertainers, and other public figures","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,10,9,10,128280,64104,328,1021,"",0.49,0.15,0.13,0.14,0.06,0.15,0.09,0.44,"",-1,-14.3,4,66.7,2,28.6,2,25.0,47451,58.7,19154,42.6,-425,-56.4,133,15.0
"01073","5","71141","77","0","2023","2","","Jefferson County, Alabama","Private","NAICS 71141 Agents and managers for artists, athletes, entertainers, and other public figures","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,10,10,10,138045,33963,68,1062,"",0.48,0.14,0.14,0.14,0.07,0.54,0.09,0.51,"",0,0.0,3,42.9,2,25.0,2,25.0,49321,55.6,15330,82.3,-194,-74.0,172,19.3
"01073","5","71141","77","0","2023","3","","Jefferson County, Alabama","Private","NAICS 71141 Agents and managers for artists, athletes, entertainers, and other public figures","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,10,10,10,138663,30000,60,1067,"",0.47,0.14,0.14,0.15,0.08,0.61,0.10,0.54,"",0,0.0,3,42.9,3,42.9,3,42.9,39784,40.2,23045,331.3,-29,-32.6,-20,-1.8
"01089","5","71141","77","0","2023","1","N","Madison County, Alabama","Private","NAICS 71141 Agents and managers for artists, athletes, entertainers, and other public figures","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.14,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01089","5","71141","77","0","2023","2","N","Madison County, Alabama","Private","NAICS 71141 Agents and managers for artists, athletes, entertainers, and other public figures","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.14,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01089","5","71141","77","0","2023","3","N","Madison County, Alabama","Private","NAICS 71141 Agents and managers for artists, athletes, entertainers, and other public figures","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.14,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
