"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"04000","3","713210","58","0","2023","1","","Arizona -- Statewide","Local Government","NAICS 713210 Casinos (except casino hotels)","State, NAICS 6-digit -- by ownership sector","All establishment sizes",15,10890,10934,10980,148599534,56296197,56455,1045,"",3.23,5.28,5.25,5.28,5.97,7.52,0.72,1.13,"",0,0.0,846,8.4,811,8.0,729,7.1,31496221,26.9,15350135,37.5,-98436,-63.6,157,17.7
"04000","3","713210","58","0","2023","2","","Arizona -- Statewide","Local Government","NAICS 713210 Casinos (except casino hotels)","State, NAICS 6-digit -- by ownership sector","All establishment sizes",15,11127,11244,11553,146605683,7339294,7678,997,"",3.16,5.33,5.42,5.64,5.75,3.94,0.63,1.05,"",0,0.0,817,7.9,903,8.7,1150,11.1,16089180,12.3,1335045,22.2,-12972,-62.8,27,2.8
"04000","3","713210","58","0","2023","3","","Arizona -- Statewide","Local Government","NAICS 713210 Casinos (except casino hotels)","State, NAICS 6-digit -- by ownership sector","All establishment sizes",15,11625,11611,11785,149641773,6065007,20412,986,"",3.15,5.65,5.49,5.54,5.94,4.41,1.69,1.07,"",0,0.0,1046,9.9,827,7.7,860,7.9,15411914,11.5,328342,5.7,-11962,-36.9,27,2.8
"04005","3","713210","78","0","2023","1","N","Coconino County, Arizona","Local Government","NAICS 713210 Casinos (except casino hotels)","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",11.66,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04005","3","713210","78","0","2023","2","N","Coconino County, Arizona","Local Government","NAICS 713210 Casinos (except casino hotels)","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",11.52,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04005","3","713210","78","0","2023","3","N","Coconino County, Arizona","Local Government","NAICS 713210 Casinos (except casino hotels)","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",11.56,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04007","3","713210","78","0","2023","1","N","Gila County, Arizona","Local Government","NAICS 713210 Casinos (except casino hotels)","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",84.10,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04007","3","713210","78","0","2023","2","N","Gila County, Arizona","Local Government","NAICS 713210 Casinos (except casino hotels)","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",82.66,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04007","3","713210","78","0","2023","3","N","Gila County, Arizona","Local Government","NAICS 713210 Casinos (except casino hotels)","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",82.68,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04012","3","713210","78","0","2023","1","N","La Paz County, Arizona","Local Government","NAICS 713210 Casinos (except casino hotels)","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",120.87,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04012","3","713210","78","0","2023","2","N","La Paz County, Arizona","Local Government","NAICS 713210 Casinos (except casino hotels)","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",118.97,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04012","3","713210","78","0","2023","3","N","La Paz County, Arizona","Local Government","NAICS 713210 Casinos (except casino hotels)","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",119.07,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04013","3","713210","78","0","2023","1","","Maricopa County, Arizona","Local Government","NAICS 713210 Casinos (except casino hotels)","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,6406,6419,6451,95219324,18725334,13108,1140,"",1.36,4.42,4.38,4.41,5.15,3.42,0.26,1.17,"",0,0.0,639,11.1,604,10.4,559,9.5,21912942,29.9,6107185,48.4,-60076,-82.1,172,17.8
"04013","3","713210","78","0","2023","2","","Maricopa County, Arizona","Local Government","NAICS 713210 Casinos (except casino hotels)","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,6515,6605,6936,93191730,2039104,1427,1072,"",1.34,4.43,4.51,4.80,4.97,1.53,0.17,1.09,"",0,0.0,624,10.6,706,12.0,995,16.7,11290025,13.8,541761,36.2,-7257,-83.6,6,0.6
"04013","3","713210","78","0","2023","3","","Maricopa County, Arizona","Local Government","NAICS 713210 Casinos (except casino hotels)","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,7057,7079,7191,96339306,1812024,1268,1042,"",1.34,4.86,4.75,4.80,5.20,1.83,0.15,1.08,"",0,0.0,1011,16.7,893,14.4,901,14.3,13412554,16.2,393313,27.7,-6960,-84.6,9,0.9
"04015","3","713210","78","0","2023","1","N","Mohave County, Arizona","Local Government","NAICS 713210 Casinos (except casino hotels)","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",9.74,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04015","3","713210","78","0","2023","2","N","Mohave County, Arizona","Local Government","NAICS 713210 Casinos (except casino hotels)","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",9.54,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
