"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","71399","57","0","2023","1","","Alabama -- Statewide","Federal Government","NAICS 71399 All other amusement and recreation industries","State, NAICS 5-digit -- by ownership sector","All establishment sizes",8,91,91,91,986639,0,0,834,"",3.12,1.15,1.13,1.13,1.69,0.00,0.00,1.49,"",2,33.3,0,0.0,-1,-1.1,-1,-1.1,34224,3.6,0,0.0,0,0.0,35,4.4
"01000","1","71399","57","0","2023","2","","Alabama -- Statewide","Federal Government","NAICS 71399 All other amusement and recreation industries","State, NAICS 5-digit -- by ownership sector","All establishment sizes",8,97,97,101,1057687,0,0,827,"",3.05,1.15,1.12,1.14,1.65,0.00,0.00,1.45,"",2,33.3,6,6.6,9,10.2,9,9.8,79271,8.1,0,0.0,0,0.0,-6,-0.7
"01000","1","71399","57","0","2023","3","","Alabama -- Statewide","Federal Government","NAICS 71399 All other amusement and recreation industries","State, NAICS 5-digit -- by ownership sector","All establishment sizes",8,105,93,84,1066667,0,0,873,"",3.04,1.17,1.02,0.92,1.42,0.00,0.00,1.37,"",2,33.3,10,10.5,1,1.1,-9,-9.7,-16172,-1.5,0,0.0,0,0.0,-19,-2.1
"01000","3","71399","57","0","2023","1","","Alabama -- Statewide","Local Government","NAICS 71399 All other amusement and recreation industries","State, NAICS 5-digit -- by ownership sector","All establishment sizes",14,447,435,436,2071258,142315,285,363,"",0.88,0.55,0.53,0.53,0.38,0.42,0.17,0.72,"",0,0.0,51,12.9,35,8.8,26,6.3,372787,21.9,-5751,-3.9,-751,-72.5,38,11.7
"01000","3","71399","57","0","2023","2","","Alabama -- Statewide","Local Government","NAICS 71399 All other amusement and recreation industries","State, NAICS 5-digit -- by ownership sector","All establishment sizes",14,425,440,506,1949823,48701,97,328,"",0.87,0.50,0.47,0.42,0.31,0.27,0.11,0.67,"",0,0.0,-12,-2.7,-42,-8.7,-67,-11.7,-337306,-14.7,-5351,-9.9,-281,-74.3,-26,-7.3
"01000","3","71399","57","0","2023","3","","Alabama -- Statewide","Local Government","NAICS 71399 All other amusement and recreation industries","State, NAICS 5-digit -- by ownership sector","All establishment sizes",14,501,497,459,2348227,39540,79,372,"",0.87,0.38,0.40,0.48,0.31,0.19,0.10,0.76,"",0,0.0,-71,-12.4,-56,-10.1,1,0.2,-70790,-2.9,-1449,-3.5,-208,-72.5,19,5.4
"01000","5","71399","57","0","2023","1","","Alabama -- Statewide","Private","NAICS 71399 All other amusement and recreation industries","State, NAICS 5-digit -- by ownership sector","All establishment sizes",220,1949,2011,2196,10948343,8237632,50409,410,"",0.70,0.73,0.73,0.78,0.70,0.78,0.84,0.94,"",10,4.8,145,8.0,119,6.3,180,8.9,1624022,17.4,1063688,14.8,-36895,-42.3,33,8.8
"01000","5","71399","57","0","2023","2","","Alabama -- Statewide","Private","NAICS 71399 All other amusement and recreation industries","State, NAICS 5-digit -- by ownership sector","All establishment sizes",227,2327,2409,2509,13380094,5281445,37076,426,"",0.71,0.77,0.75,0.67,0.73,1.13,0.96,1.01,"",7,3.2,141,6.5,83,3.6,60,2.4,1412361,11.8,132378,2.6,-33241,-47.3,29,7.3
"01000","5","71399","57","0","2023","3","","Alabama -- Statewide","Private","NAICS 71399 All other amusement and recreation industries","State, NAICS 5-digit -- by ownership sector","All establishment sizes",233,2581,2366,2299,13912846,4114116,32362,443,"",0.72,0.64,0.62,0.70,0.65,0.75,0.69,1.00,"",12,5.4,102,4.1,-14,-0.6,17,0.7,-332264,-2.3,-311934,-7.0,-22912,-41.5,-17,-3.7
"01001","5","71399","77","0","2023","1","N","Autauga County, Alabama","Private","NAICS 71399 All other amusement and recreation industries","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",1.41,0,0,0,0,0,0,0,"N",-1,-25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
