"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","721199","58","0","2023","1","","Alabama -- Statewide","Federal Government","NAICS 721199 All other traveler accommodation","State, NAICS 6-digit -- by ownership sector","All establishment sizes",3,133,131,130,1035519,0,0,607,"",2.68,4.97,4.92,4.87,6.16,0.00,0.00,1.25,"",1,50.0,24,22.0,28,27.2,25,23.8,491135,90.2,0,0.0,0,0.0,211,53.3
"01000","1","721199","58","0","2023","2","","Alabama -- Statewide","Federal Government","NAICS 721199 All other traveler accommodation","State, NAICS 6-digit -- by ownership sector","All establishment sizes",3,124,129,131,1160199,0,0,697,"",2.66,4.70,4.85,4.93,5.64,0.00,0.00,1.17,"",1,50.0,18,17.0,19,17.3,18,15.9,143545,14.1,0,0.0,0,0.0,-16,-2.2
"01000","1","721199","58","0","2023","3","","Alabama -- Statewide","Federal Government","NAICS 721199 All other traveler accommodation","State, NAICS 6-digit -- by ownership sector","All establishment sizes",3,133,133,141,1062840,0,0,603,"",2.66,4.96,4.97,5.26,5.78,0.00,0.00,1.14,"",1,50.0,1,0.8,0,0.0,7,5.2,-120149,-10.2,0,0.0,0,0.0,-81,-11.8
"01000","5","721199","58","0","2023","1","N","Alabama -- Statewide","Private","NAICS 721199 All other traveler accommodation","State, NAICS 6-digit -- by ownership sector","All establishment sizes",10,0,0,0,0,0,0,0,"N",0.26,0,0,0,0,0,0,0,"N",1,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","721199","58","0","2023","2","N","Alabama -- Statewide","Private","NAICS 721199 All other traveler accommodation","State, NAICS 6-digit -- by ownership sector","All establishment sizes",12,0,0,0,0,0,0,0,"N",0.31,0,0,0,0,0,0,0,"N",3,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","721199","58","0","2023","3","N","Alabama -- Statewide","Private","NAICS 721199 All other traveler accommodation","State, NAICS 6-digit -- by ownership sector","All establishment sizes",13,0,0,0,0,0,0,0,"N",0.33,0,0,0,0,0,0,0,"N",2,18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","721199","78","0","2023","1","","Baldwin County, Alabama","Private","NAICS 721199 All other traveler accommodation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,8,9,9,93212,69039,138,827,"",1.49,1.00,1.12,1.09,1.50,1.45,0.44,1.41,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","721199","78","0","2023","2","N","Baldwin County, Alabama","Private","NAICS 721199 All other traveler accommodation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",1.44,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","721199","78","0","2023","3","","Baldwin County, Alabama","Private","NAICS 721199 All other traveler accommodation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,9,9,9,97573,0,0,834,"",1.42,0.78,0.81,0.88,1.21,0.00,0.00,1.46,"",0,0.0,0,0.0,0,0.0,0,0.0,-9721,-9.1,-11670,-100.0,-82,-100.0,-83,-9.1
"01017","5","721199","78","0","2023","1","N","Chambers County, Alabama","Private","NAICS 721199 All other traveler accommodation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",5.30,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01017","5","721199","78","0","2023","2","N","Chambers County, Alabama","Private","NAICS 721199 All other traveler accommodation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",5.26,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01017","5","721199","78","0","2023","3","N","Chambers County, Alabama","Private","NAICS 721199 All other traveler accommodation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",5.18,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
