"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","72121","57","0","2023","1","","Alabama -- Statewide","Federal Government","NAICS 72121 Rv (recreational vehicle) parks and recreational camps","State, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,13409,0,0,1031,"",1.26,0.44,0.41,0.39,0.85,0.00,0.00,2.09,"",0,0.0,-1,-50.0,-1,-50.0,-1,-50.0,-2023,-13.1,0,0.0,0,0.0,437,73.6
"01000","1","72121","57","0","2023","2","","Alabama -- Statewide","Federal Government","NAICS 72121 Rv (recreational vehicle) parks and recreational camps","State, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,10968,0,0,844,"",1.25,0.40,0.40,0.37,0.56,0.00,0.00,1.45,"",0,0.0,-1,-50.0,-1,-50.0,-1,-50.0,-3462,-24.0,0,0.0,0,0.0,289,52.1
"01000","1","72121","57","0","2023","3","","Alabama -- Statewide","Federal Government","NAICS 72121 Rv (recreational vehicle) parks and recreational camps","State, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,13798,0,0,1061,"",1.25,0.35,0.36,0.35,0.71,0.00,0.00,1.99,"",0,0.0,-1,-50.0,-1,-50.0,-1,-50.0,-4497,-24.6,0,0.0,0,0.0,357,50.7
"01000","5","72121","57","0","2023","1","","Alabama -- Statewide","Private","NAICS 72121 Rv (recreational vehicle) parks and recreational camps","State, NAICS 5-digit -- by ownership sector","All establishment sizes",109,544,557,570,4418077,3027661,26619,610,"",0.97,0.84,0.84,0.82,0.92,1.01,1.41,1.10,"",2,1.9,-6,-1.1,-1,-0.2,-1,-0.2,599828,15.7,256509,9.3,-9713,-26.7,85,16.2
"01000","5","72121","57","0","2023","2","","Alabama -- Statewide","Private","NAICS 72121 Rv (recreational vehicle) parks and recreational camps","State, NAICS 5-digit -- by ownership sector","All establishment sizes",112,648,678,958,5235038,1618570,13632,529,"",0.97,0.81,0.68,0.64,0.79,1.00,0.90,1.14,"",5,4.7,-2,-0.3,-2,-0.3,72,8.1,469328,9.8,-190020,-10.5,-12066,-47.0,33,6.7
"01000","5","72121","57","0","2023","3","","Alabama -- Statewide","Private","NAICS 72121 Rv (recreational vehicle) parks and recreational camps","State, NAICS 5-digit -- by ownership sector","All establishment sizes",117,1200,779,620,6698594,1993497,15419,595,"",1.00,0.64,0.48,0.57,0.69,0.75,0.63,1.23,"",10,9.3,47,4.1,-17,-2.1,43,7.5,-92820,-1.4,-243602,-10.9,-16609,-51.9,-25,-4.0
"01001","5","72121","77","0","2023","1","N","Autauga County, Alabama","Private","NAICS 72121 Rv (recreational vehicle) parks and recreational camps","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.30,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","72121","77","0","2023","2","N","Autauga County, Alabama","Private","NAICS 72121 Rv (recreational vehicle) parks and recreational camps","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.28,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","72121","77","0","2023","3","N","Autauga County, Alabama","Private","NAICS 72121 Rv (recreational vehicle) parks and recreational camps","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.25,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","72121","77","0","2023","1","","Baldwin County, Alabama","Private","NAICS 72121 Rv (recreational vehicle) parks and recreational camps","County, NAICS 5-digit -- by ownership sector","All establishment sizes",23,105,110,111,772757,574199,8151,547,"",3.88,4.17,4.26,4.01,5.18,4.88,11.31,1.25,"",1,4.5,10,10.5,20,22.2,18,19.4,253596,48.8,128702,28.9,815,11.1,116,26.9
