"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","721211","58","0","2023","1","","Alabama -- Statewide","Federal Government","NAICS 721211 Rv (recreational vehicle) parks and campgrounds","State, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,13409,0,0,1031,"",1.26,0.44,0.41,0.39,0.85,0.00,0.00,2.09,"",0,0.0,-1,-50.0,-1,-50.0,-1,-50.0,-2023,-13.1,0,0.0,0,0.0,437,73.6
"01000","1","721211","58","0","2023","2","","Alabama -- Statewide","Federal Government","NAICS 721211 Rv (recreational vehicle) parks and campgrounds","State, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,10968,0,0,844,"",1.25,0.40,0.40,0.37,0.56,0.00,0.00,1.45,"",0,0.0,-1,-50.0,-1,-50.0,-1,-50.0,-3462,-24.0,0,0.0,0,0.0,289,52.1
"01000","1","721211","58","0","2023","3","","Alabama -- Statewide","Federal Government","NAICS 721211 Rv (recreational vehicle) parks and campgrounds","State, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,13798,0,0,1061,"",1.25,0.35,0.36,0.35,0.71,0.00,0.00,1.99,"",0,0.0,-1,-50.0,-1,-50.0,-1,-50.0,-4497,-24.6,0,0.0,0,0.0,357,50.7
"01000","5","721211","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 721211 Rv (recreational vehicle) parks and campgrounds","State, NAICS 6-digit -- by ownership sector","All establishment sizes",59,275,281,295,1770658,1446176,17725,480,"",0.84,0.80,0.81,0.79,0.75,0.86,1.51,0.94,"",2,3.5,-17,-5.8,-6,-2.1,1,0.3,270853,18.1,135808,10.4,-2403,-11.9,84,21.2
"01000","5","721211","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 721211 Rv (recreational vehicle) parks and campgrounds","State, NAICS 6-digit -- by ownership sector","All establishment sizes",61,308,308,311,1967618,716603,10074,490,"",0.84,0.68,0.55,0.46,0.61,0.79,1.02,1.12,"",2,3.4,-10,-3.1,-14,-4.3,-24,-7.2,61828,3.2,-273185,-27.6,-7747,-43.5,39,8.6
"01000","5","721211","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 721211 Rv (recreational vehicle) parks and campgrounds","State, NAICS 6-digit -- by ownership sector","All establishment sizes",64,321,307,299,2216700,524597,7598,552,"",0.87,0.45,0.45,0.50,0.56,0.48,0.62,1.21,"",6,10.3,6,1.9,5,1.7,14,4.9,127160,6.1,-192160,-26.8,-6916,-47.7,17,3.2
"01001","5","721211","78","0","2023","1","N","Autauga County, Alabama","Private","NAICS 721211 Rv (recreational vehicle) parks and campgrounds","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.08,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","721211","78","0","2023","2","N","Autauga County, Alabama","Private","NAICS 721211 Rv (recreational vehicle) parks and campgrounds","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.03,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","721211","78","0","2023","3","N","Autauga County, Alabama","Private","NAICS 721211 Rv (recreational vehicle) parks and campgrounds","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.99,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","721211","78","0","2023","1","","Baldwin County, Alabama","Private","NAICS 721211 Rv (recreational vehicle) parks and campgrounds","County, NAICS 6-digit -- by ownership sector","All establishment sizes",19,99,104,103,694622,530977,7948,524,"",5.11,7.40,7.67,6.99,9.50,8.07,17.82,1.29,"",1,5.6,9,10.0,19,22.4,15,17.0,216305,45.2,113977,27.3,1009,14.5,104,24.8
