"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","7213","56","0","2023","1","","Alabama -- Statewide","Private","NAICS 7213 Rooming and boarding houses, dormitories, and workers' camps","State, NAICS 4-digit -- by ownership sector","All establishment sizes",36,79,107,69,696091,559371,17054,630,"",1.50,0.58,0.74,0.48,0.69,0.82,3.08,1.15,"",3,9.1,-21,-21.0,19,21.6,-11,-13.8,88953,14.7,25588,4.8,-7486,-30.5,107,20.5
"01000","5","7213","56","0","2023","2","","Alabama -- Statewide","Private","NAICS 7213 Rooming and boarding houses, dormitories, and workers' camps","State, NAICS 4-digit -- by ownership sector","All establishment sizes",38,74,70,69,619248,134809,4144,671,"",1.58,0.51,0.50,0.55,0.58,0.60,2.07,1.11,"",4,11.8,-9,-10.8,-4,-5.4,30,76.9,92617,17.6,-31114,-18.8,-2981,-41.8,51,8.2
"01000","5","7213","56","0","2023","3","","Alabama -- Statewide","Private","NAICS 7213 Rooming and boarding houses, dormitories, and workers' camps","State, NAICS 4-digit -- by ownership sector","All establishment sizes",37,41,56,83,558830,75496,2225,716,"",1.53,0.33,0.42,0.57,0.51,0.39,1.35,1.14,"",4,12.1,3,7.9,-13,-18.8,-7,-7.8,6851,1.2,-17456,-18.8,-1963,-46.9,69,10.7
"01081","5","7213","76","0","2023","1","N","Lee County, Alabama","Private","NAICS 7213 Rooming and boarding houses, dormitories, and workers' camps","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",6.24,0,0,0,0,0,0,0,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01081","5","7213","76","0","2023","2","N","Lee County, Alabama","Private","NAICS 7213 Rooming and boarding houses, dormitories, and workers' camps","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",6.17,0,0,0,0,0,0,0,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01081","5","7213","76","0","2023","3","N","Lee County, Alabama","Private","NAICS 7213 Rooming and boarding houses, dormitories, and workers' camps","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",6.13,0,0,0,0,0,0,0,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01097","5","7213","76","0","2023","1","N","Mobile County, Alabama","Private","NAICS 7213 Rooming and boarding houses, dormitories, and workers' camps","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",1.63,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01097","5","7213","76","0","2023","2","N","Mobile County, Alabama","Private","NAICS 7213 Rooming and boarding houses, dormitories, and workers' camps","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",1.62,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01097","5","7213","76","0","2023","3","N","Mobile County, Alabama","Private","NAICS 7213 Rooming and boarding houses, dormitories, and workers' camps","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",1.62,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01117","5","7213","76","0","2023","1","-","Shelby County, Alabama","Private","NAICS 7213 Rooming and boarding houses, dormitories, and workers' camps","County, NAICS 4-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
