"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","7223","56","0","2023","1","","Alabama -- Statewide","Federal Government","NAICS 7223 Special food services","State, NAICS 4-digit -- by ownership sector","All establishment sizes",2,6,7,6,44627,0,0,542,"",17.06,0.98,1.14,0.99,0.89,0.00,0.00,0.86,"",1,100.0,2,50.0,3,75.0,2,50.0,32912,280.9,0,0.0,0,0.0,317,140.9
"01000","1","7223","56","0","2023","2","","Alabama -- Statewide","Federal Government","NAICS 7223 Special food services","State, NAICS 4-digit -- by ownership sector","All establishment sizes",2,6,7,5,42002,0,0,538,"",19.04,0.98,1.15,0.82,0.79,0.00,0.00,0.80,"",1,100.0,2,50.0,3,75.0,2,66.7,22285,113.0,0,0.0,0,0.0,124,30.0
"01000","1","7223","56","0","2023","3","","Alabama -- Statewide","Federal Government","NAICS 7223 Special food services","State, NAICS 4-digit -- by ownership sector","All establishment sizes",2,5,8,8,45463,0,0,500,"",19.07,0.95,1.48,1.37,0.89,0.00,0.00,0.70,"",1,100.0,2,66.7,4,100.0,4,100.0,36702,418.9,0,0.0,0,0.0,316,171.7
"01000","3","7223","56","0","2023","1","N","Alabama -- Statewide","Local Government","NAICS 7223 Special food services","State, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.90,0,0,0,0,0,0,0,"N",2,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","7223","56","0","2023","2","N","Alabama -- Statewide","Local Government","NAICS 7223 Special food services","State, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.89,0,0,0,0,0,0,0,"N",2,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","7223","56","0","2023","3","N","Alabama -- Statewide","Local Government","NAICS 7223 Special food services","State, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.89,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","7223","56","0","2023","1","","Alabama -- Statewide","Private","NAICS 7223 Special food services","State, NAICS 4-digit -- by ownership sector","All establishment sizes",523,7063,7447,7473,49022468,38431612,643605,515,"",0.83,0.80,0.79,0.78,0.77,0.83,1.41,0.97,"",17,3.4,532,8.1,350,4.9,245,3.4,6763502,16.0,4058059,11.8,-222314,-25.7,47,10.0
"01000","5","7223","56","0","2023","2","","Alabama -- Statewide","Private","NAICS 7223 Special food services","State, NAICS 4-digit -- by ownership sector","All establishment sizes",527,7659,6579,6321,48744978,14760631,248699,547,"",0.81,0.77,0.67,0.67,0.68,0.92,1.13,0.97,"",26,5.2,192,2.6,35,0.5,13,0.2,2008318,4.3,-1216600,-7.6,-155480,-38.5,16,3.0
"01000","5","7223","56","0","2023","3","","Alabama -- Statewide","Private","NAICS 7223 Special food services","State, NAICS 4-digit -- by ownership sector","All establishment sizes",539,6106,7407,8142,49624141,10509835,190565,529,"",0.81,0.69,0.75,0.76,0.68,0.81,1.16,0.92,"",26,5.1,-193,-3.1,136,1.9,262,3.3,269375,0.5,14707,0.1,-75865,-28.5,-2,-0.4
"01001","5","7223","76","0","2023","1","N","Autauga County, Alabama","Private","NAICS 7223 Special food services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.23,0,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","7223","76","0","2023","2","N","Autauga County, Alabama","Private","NAICS 7223 Special food services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.23,0,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","7223","76","0","2023","3","N","Autauga County, Alabama","Private","NAICS 7223 Special food services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.44,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","7223","76","0","2023","1","","Baldwin County, Alabama","Private","NAICS 7223 Special food services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",19,103,108,117,854164,685008,5283,601,"",0.57,0.30,0.30,0.31,0.43,0.37,0.30,1.43,"",-3,-13.6,-2,-1.9,1,0.9,2,1.7,80022,10.3,44453,6.9,-3351,-38.8,55,10.1
"01003","5","7223","76","0","2023","2","","Baldwin County, Alabama","Private","NAICS 7223 Special food services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",19,119,108,115,900547,339429,3648,608,"",0.55,0.30,0.27,0.30,0.38,0.42,0.38,1.33,"",-2,-9.5,-13,-9.8,-34,-23.9,-36,-23.8,-83423,-8.5,-82653,-19.6,-3756,-50.7,74,13.9
"01003","5","7223","76","0","2023","3","","Baldwin County, Alabama","Private","NAICS 7223 Special food services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",19,122,104,109,860842,198246,2596,593,"",0.54,0.34,0.26,0.26,0.34,0.31,0.35,1.23,"",-2,-9.5,-11,-8.3,-2,-1.9,-6,-5.2,-156568,-15.4,-45112,-18.5,-1434,-35.6,-70,-10.6
"01007","5","7223","76","0","2023","1","N","Bibb County, Alabama","Private","NAICS 7223 Special food services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.58,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","7223","76","0","2023","2","N","Bibb County, Alabama","Private","NAICS 7223 Special food services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.56,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","7223","76","0","2023","3","N","Bibb County, Alabama","Private","NAICS 7223 Special food services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.55,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
