"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","7224","56","0","2023","1","","Alabama -- Statewide","Private","NAICS 7224 Drinking places (alcoholic beverages)","State, NAICS 4-digit -- by ownership sector","All establishment sizes",334,2551,2680,2670,15906503,12164442,85793,465,"",0.61,0.47,0.49,0.48,0.57,0.55,0.67,1.19,"",9,2.8,172,7.2,212,8.6,190,7.7,2522922,18.9,1564675,14.8,-30775,-26.4,43,10.2
"01000","5","7224","56","0","2023","2","","Alabama -- Statewide","Private","NAICS 7224 Drinking places (alcoholic beverages)","State, NAICS 4-digit -- by ownership sector","All establishment sizes",342,2756,2706,2690,16640806,5939581,53940,471,"",0.61,0.49,0.48,0.47,0.54,0.68,0.80,1.13,"",24,7.5,246,9.8,295,12.2,317,13.4,2405823,16.9,757767,14.6,-8164,-13.1,21,4.7
"01000","5","7224","56","0","2023","3","","Alabama -- Statewide","Private","NAICS 7224 Drinking places (alcoholic beverages)","State, NAICS 4-digit -- by ownership sector","All establishment sizes",347,2673,2701,2811,16718217,4430064,40175,471,"",0.62,0.47,0.47,0.49,0.54,0.59,0.67,1.12,"",23,7.1,313,13.3,258,10.6,261,10.2,1460143,9.6,511835,13.1,-9338,-18.9,-8,-1.7
"01001","5","7224","76","0","2023","1","N","Autauga County, Alabama","Private","NAICS 7224 Drinking places (alcoholic beverages)","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.27,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","7224","76","0","2023","2","N","Autauga County, Alabama","Private","NAICS 7224 Drinking places (alcoholic beverages)","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.26,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","7224","76","0","2023","3","N","Autauga County, Alabama","Private","NAICS 7224 Drinking places (alcoholic beverages)","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.26,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","7224","76","0","2023","1","","Baldwin County, Alabama","Private","NAICS 7224 Drinking places (alcoholic beverages)","County, NAICS 4-digit -- by ownership sector","All establishment sizes",29,216,229,228,1486421,1113941,8609,510,"",1.00,1.03,1.07,1.04,1.72,1.28,1.77,1.65,"",0,0.0,50,30.1,31,15.7,30,15.2,318344,27.3,191489,20.8,-334,-3.7,30,6.2
"01003","5","7224","76","0","2023","2","","Baldwin County, Alabama","Private","NAICS 7224 Drinking places (alcoholic beverages)","County, NAICS 4-digit -- by ownership sector","All establishment sizes",30,229,233,250,1677758,543334,6128,544,"",1.01,1.02,1.02,1.07,1.66,1.24,2.06,1.60,"",2,7.1,28,13.9,35,17.7,52,26.3,362493,27.6,88752,19.5,839,15.9,36,7.1
"01003","5","7224","76","0","2023","3","","Baldwin County, Alabama","Private","NAICS 7224 Drinking places (alcoholic beverages)","County, NAICS 4-digit -- by ownership sector","All establishment sizes",31,237,237,229,1686877,421741,4828,554,"",1.03,1.01,1.02,1.01,1.58,1.13,1.80,1.57,"",1,3.3,19,8.7,15,6.8,3,1.3,117650,7.5,38288,10.0,-222,-4.4,10,1.8
"01015","5","7224","76","0","2023","1","N","Calhoun County, Alabama","Private","NAICS 7224 Drinking places (alcoholic beverages)","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.20,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
