"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","3","722514","58","0","2023","1","N","Alabama -- Statewide","Local Government","NAICS 722514 Cafeterias, grill buffets, and buffets","State, NAICS 6-digit -- by ownership sector","All establishment sizes",137,0,0,0,0,0,0,0,"N",36.27,0,0,0,0,0,0,0,"N",-4,-2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","722514","58","0","2023","2","N","Alabama -- Statewide","Local Government","NAICS 722514 Cafeterias, grill buffets, and buffets","State, NAICS 6-digit -- by ownership sector","All establishment sizes",137,0,0,0,0,0,0,0,"N",36.10,0,0,0,0,0,0,0,"N",-4,-2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","722514","58","0","2023","3","N","Alabama -- Statewide","Local Government","NAICS 722514 Cafeterias, grill buffets, and buffets","State, NAICS 6-digit -- by ownership sector","All establishment sizes",136,0,0,0,0,0,0,0,"N",36.01,0,0,0,0,0,0,0,"N",-2,-1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","722514","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 722514 Cafeterias, grill buffets, and buffets","State, NAICS 6-digit -- by ownership sector","All establishment sizes",190,2103,2151,2247,10554156,8811065,85422,375,"",2.76,2.14,2.16,2.21,2.11,2.24,4.96,0.97,"",-14,-6.9,-208,-9.0,-193,-8.2,-112,-4.7,353469,3.5,50521,0.6,-58369,-40.6,39,11.6
"01000","5","722514","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 722514 Cafeterias, grill buffets, and buffets","State, NAICS 6-digit -- by ownership sector","All establishment sizes",185,2196,2140,2192,11405285,4956334,46832,403,"",2.66,2.15,2.10,2.14,2.08,3.47,5.45,0.98,"",-12,-6.1,-61,-2.7,-104,-4.6,-50,-2.2,10219,0.1,-324993,-6.2,-40351,-46.3,13,3.3
"01000","5","722514","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 722514 Cafeterias, grill buffets, and buffets","State, NAICS 6-digit -- by ownership sector","All establishment sizes",186,2086,2120,2137,10826183,3194895,25374,394,"",2.67,2.03,2.05,2.08,1.90,2.74,3.52,0.93,"",-12,-6.1,-98,-4.5,-57,-2.6,-25,-1.2,-203712,-1.8,-64605,-2.0,-31508,-55.4,4,1.0
"01001","3","722514","78","0","2023","1","N","Autauga County, Alabama","Local Government","NAICS 722514 Cafeterias, grill buffets, and buffets","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",38.86,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","3","722514","78","0","2023","2","N","Autauga County, Alabama","Local Government","NAICS 722514 Cafeterias, grill buffets, and buffets","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",38.81,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","3","722514","78","0","2023","3","N","Autauga County, Alabama","Local Government","NAICS 722514 Cafeterias, grill buffets, and buffets","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",38.63,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","722514","78","0","2023","1","N","Autauga County, Alabama","Private","NAICS 722514 Cafeterias, grill buffets, and buffets","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",4.27,0,0,0,0,0,0,0,"N",-1,-33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","722514","78","0","2023","2","N","Autauga County, Alabama","Private","NAICS 722514 Cafeterias, grill buffets, and buffets","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",4.24,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","722514","78","0","2023","3","N","Autauga County, Alabama","Private","NAICS 722514 Cafeterias, grill buffets, and buffets","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",4.19,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","722514","78","0","2023","1","","Baldwin County, Alabama","Private","NAICS 722514 Cafeterias, grill buffets, and buffets","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,54,57,61,407444,306324,2132,547,"",1.66,1.42,1.46,1.52,2.63,1.98,3.25,1.79,"",0,0.0,1,1.9,5,9.6,12,24.5,87644,27.4,34049,12.5,-1700,-44.4,68,14.2
"01003","5","722514","78","0","2023","2","","Baldwin County, Alabama","Private","NAICS 722514 Cafeterias, grill buffets, and buffets","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,60,59,50,441294,133709,955,603,"",1.63,1.47,1.43,1.19,2.45,1.87,2.52,1.80,"",0,0.0,10,20.0,9,18.0,-1,-2.0,83107,23.2,28177,26.7,-722,-43.1,56,10.2
"01003","5","722514","78","0","2023","3","","Baldwin County, Alabama","Private","NAICS 722514 Cafeterias, grill buffets, and buffets","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,60,60,48,453404,63893,458,623,"",1.62,1.42,1.43,1.17,2.34,1.11,1.41,1.74,"",0,0.0,11,22.4,8,15.4,-6,-11.1,66456,17.2,-10650,-14.3,-817,-64.1,47,8.2
"01005","5","722514","78","0","2023","1","N","Barbour County, Alabama","Private","NAICS 722514 Cafeterias, grill buffets, and buffets","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",7.64,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","722514","78","0","2023","2","N","Barbour County, Alabama","Private","NAICS 722514 Cafeterias, grill buffets, and buffets","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",7.49,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","722514","78","0","2023","3","N","Barbour County, Alabama","Private","NAICS 722514 Cafeterias, grill buffets, and buffets","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",7.65,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","722514","78","0","2023","1","N","Blount County, Alabama","Private","NAICS 722514 Cafeterias, grill buffets, and buffets","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.42,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","722514","78","0","2023","2","N","Blount County, Alabama","Private","NAICS 722514 Cafeterias, grill buffets, and buffets","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.43,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","722514","78","0","2023","3","N","Blount County, Alabama","Private","NAICS 722514 Cafeterias, grill buffets, and buffets","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.42,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01011","5","722514","78","0","2023","1","N","Bullock County, Alabama","Private","NAICS 722514 Cafeterias, grill buffets, and buffets","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",10.65,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01011","5","722514","78","0","2023","2","N","Bullock County, Alabama","Private","NAICS 722514 Cafeterias, grill buffets, and buffets","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",10.64,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01011","5","722514","78","0","2023","3","N","Bullock County, Alabama","Private","NAICS 722514 Cafeterias, grill buffets, and buffets","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",10.85,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","722514","78","0","2023","1","N","Butler County, Alabama","Private","NAICS 722514 Cafeterias, grill buffets, and buffets","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",4.09,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
