"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","811121","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 811121 Automotive body, paint, and interior repair and maintenance","State, NAICS 6-digit -- by ownership sector","All establishment sizes",608,3672,3724,3755,54206301,27897556,144249,1122,"",1.32,1.08,1.08,1.09,1.26,1.08,1.11,1.17,"",1,0.2,85,2.4,87,2.4,162,4.5,8965378,19.8,1762389,6.7,-150319,-51.0,157,16.3
"01000","5","811121","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 811121 Automotive body, paint, and interior repair and maintenance","State, NAICS 6-digit -- by ownership sector","All establishment sizes",610,3805,3789,3787,57264987,4791595,30466,1161,"",1.31,1.10,1.10,1.10,1.24,0.86,0.88,1.13,"",9,1.5,142,3.9,104,2.8,65,1.7,6553388,12.9,-415714,-8.0,-36686,-54.6,104,9.8
"01000","5","811121","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 811121 Automotive body, paint, and interior repair and maintenance","State, NAICS 6-digit -- by ownership sector","All establishment sizes",613,3768,3751,3747,56714633,3219434,24714,1162,"",1.31,1.08,1.08,1.08,1.20,0.81,0.95,1.11,"",7,1.2,102,2.8,53,1.4,51,1.4,1634550,3.0,-699574,-17.9,-27311,-52.5,13,1.1
"01001","5","811121","78","0","2023","1","N","Autauga County, Alabama","Private","NAICS 811121 Automotive body, paint, and interior repair and maintenance","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",1.27,0,0,0,0,0,0,0,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","811121","78","0","2023","2","N","Autauga County, Alabama","Private","NAICS 811121 Automotive body, paint, and interior repair and maintenance","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.95,0,0,0,0,0,0,0,"N",-1,-25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","811121","78","0","2023","3","N","Autauga County, Alabama","Private","NAICS 811121 Automotive body, paint, and interior repair and maintenance","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.93,0,0,0,0,0,0,0,"N",-1,-25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","811121","78","0","2023","1","N","Baldwin County, Alabama","Private","NAICS 811121 Automotive body, paint, and interior repair and maintenance","County, NAICS 6-digit -- by ownership sector","All establishment sizes",29,0,0,0,0,0,0,0,"N",1.19,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","811121","78","0","2023","2","N","Baldwin County, Alabama","Private","NAICS 811121 Automotive body, paint, and interior repair and maintenance","County, NAICS 6-digit -- by ownership sector","All establishment sizes",29,0,0,0,0,0,0,0,"N",1.17,0,0,0,0,0,0,0,"N",1,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","811121","78","0","2023","3","N","Baldwin County, Alabama","Private","NAICS 811121 Automotive body, paint, and interior repair and maintenance","County, NAICS 6-digit -- by ownership sector","All establishment sizes",29,0,0,0,0,0,0,0,"N",1.16,0,0,0,0,0,0,0,"N",1,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","811121","78","0","2023","1","N","Barbour County, Alabama","Private","NAICS 811121 Automotive body, paint, and interior repair and maintenance","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,0,"N",2.84,0,0,0,0,0,0,0,"N",-1,-16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","811121","78","0","2023","2","N","Barbour County, Alabama","Private","NAICS 811121 Automotive body, paint, and interior repair and maintenance","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,0,"N",2.78,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","811121","78","0","2023","3","N","Barbour County, Alabama","Private","NAICS 811121 Automotive body, paint, and interior repair and maintenance","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,0,"N",2.84,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","811121","78","0","2023","1","N","Bibb County, Alabama","Private","NAICS 811121 Automotive body, paint, and interior repair and maintenance","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.59,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","811121","78","0","2023","2","N","Bibb County, Alabama","Private","NAICS 811121 Automotive body, paint, and interior repair and maintenance","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.56,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","811121","78","0","2023","3","N","Bibb County, Alabama","Private","NAICS 811121 Automotive body, paint, and interior repair and maintenance","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.55,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
