"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","8114","56","0","2023","1","","Alabama -- Statewide","Private","NAICS 8114 Personal and household goods repair and maintenance","State, NAICS 4-digit -- by ownership sector","All establishment sizes",278,864,884,889,9078246,5846441,53877,794,"",0.86,0.78,0.79,0.79,0.88,0.85,1.45,1.11,"",14,5.3,-43,-4.7,-39,-4.2,-15,-1.7,418112,4.8,-324352,-5.3,-16109,-23.0,63,8.6
"01000","5","8114","56","0","2023","2","","Alabama -- Statewide","Private","NAICS 8114 Personal and household goods repair and maintenance","State, NAICS 4-digit -- by ownership sector","All establishment sizes",280,908,913,924,9604063,1477134,16174,807,"",0.85,0.79,0.79,0.79,0.84,0.80,1.15,1.06,"",18,6.9,0,0.0,12,1.3,25,2.8,327879,3.5,-407007,-21.6,-6177,-27.6,17,2.2
"01000","5","8114","56","0","2023","3","","Alabama -- Statewide","Private","NAICS 8114 Personal and household goods repair and maintenance","State, NAICS 4-digit -- by ownership sector","All establishment sizes",283,903,887,866,9363942,966399,10290,814,"",0.85,0.76,0.76,0.75,0.79,0.70,0.99,1.05,"",16,6.0,45,5.2,32,3.7,29,3.5,488423,5.5,26285,2.8,-2736,-21.0,11,1.4
"01001","5","8114","76","0","2023","1","N","Autauga County, Alabama","Private","NAICS 8114 Personal and household goods repair and maintenance","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.91,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","8114","76","0","2023","2","N","Autauga County, Alabama","Private","NAICS 8114 Personal and household goods repair and maintenance","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.89,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","8114","76","0","2023","3","N","Autauga County, Alabama","Private","NAICS 8114 Personal and household goods repair and maintenance","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",1.31,0,0,0,0,0,0,0,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","8114","76","0","2023","1","","Baldwin County, Alabama","Private","NAICS 8114 Personal and household goods repair and maintenance","County, NAICS 4-digit -- by ownership sector","All establishment sizes",46,226,224,226,2973151,1597685,7157,1015,"",2.70,5.27,5.15,5.07,9.24,5.94,5.04,1.79,"",3,7.0,23,11.3,27,13.7,31,15.9,495939,20.0,102304,6.8,-6906,-49.1,54,5.6
"01003","5","8114","76","0","2023","2","","Baldwin County, Alabama","Private","NAICS 8114 Personal and household goods repair and maintenance","County, NAICS 4-digit -- by ownership sector","All establishment sizes",48,230,228,236,3261673,256683,1644,1085,"",2.74,5.02,4.88,4.88,8.63,2.78,2.65,1.75,"",6,14.3,29,14.4,35,18.1,45,23.6,640266,24.4,21956,9.4,-1217,-42.5,51,4.9
"01003","5","8114","76","0","2023","3","","Baldwin County, Alabama","Private","NAICS 8114 Personal and household goods repair and maintenance","County, NAICS 4-digit -- by ownership sector","All establishment sizes",49,232,239,235,3274798,223986,1127,1070,"",2.75,4.79,5.02,5.10,8.13,3.29,2.41,1.64,"",7,16.7,38,19.6,51,27.1,44,23.0,671950,25.8,48388,27.6,-882,-43.9,22,2.1
"01005","5","8114","76","0","2023","1","-","Barbour County, Alabama","Private","NAICS 8114 Personal and household goods repair and maintenance","County, NAICS 4-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
