"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","81219","57","0","2023","1","","Alabama -- Statewide","Private","NAICS 81219 Other personal care services","State, NAICS 5-digit -- by ownership sector","All establishment sizes",343,1705,1757,1772,11885901,8644569,66222,524,"",0.82,0.70,0.71,0.71,0.71,0.73,0.95,1.01,"",25,7.9,34,2.0,38,2.2,-3,-0.2,1572083,15.2,500323,6.1,-49542,-42.8,63,13.7
"01000","5","81219","57","0","2023","2","","Alabama -- Statewide","Private","NAICS 81219 Other personal care services","State, NAICS 5-digit -- by ownership sector","All establishment sizes",343,1768,1796,1793,12522467,3214923,25039,539,"",0.80,0.71,0.72,0.72,0.70,0.85,0.88,0.98,"",20,6.2,5,0.3,33,1.9,53,3.0,1071698,9.4,-263674,-7.6,-27850,-52.7,37,7.4
"01000","5","81219","57","0","2023","3","","Alabama -- Statewide","Private","NAICS 81219 Other personal care services","State, NAICS 5-digit -- by ownership sector","All establishment sizes",351,1687,1702,1713,12260383,2194814,20035,555,"",0.81,0.67,0.68,0.70,0.69,0.73,0.86,1.01,"",13,3.8,0,0.0,15,0.9,19,1.1,850289,7.5,-301162,-12.1,-17245,-46.3,35,6.7
"01001","5","81219","77","0","2023","1","","Autauga County, Alabama","Private","NAICS 81219 Other personal care services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,29,29,30,152237,133571,944,399,"",2.11,2.09,2.05,2.10,1.96,2.28,2.32,0.94,"",2,50.0,-3,-9.4,-4,-12.1,-4,-11.8,28421,23.0,14297,12.0,109,13.1,110,38.1
"01001","5","81219","77","0","2023","2","","Autauga County, Alabama","Private","NAICS 81219 Other personal care services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,30,30,29,155487,47668,324,403,"",2.06,2.10,2.10,2.02,1.78,2.23,1.81,0.86,"",2,50.0,1,3.4,-1,-3.2,0,0.0,13962,9.9,-7409,-13.5,-62,-16.1,36,9.8
"01001","5","81219","77","0","2023","3","","Autauga County, Alabama","Private","NAICS 81219 Other personal care services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,28,31,30,189420,23652,117,491,"",2.02,1.95,2.18,2.14,2.22,1.52,0.92,1.06,"",0,0.0,-4,-12.5,-1,-3.1,-3,-9.1,46982,33.0,-34465,-59.3,-595,-83.6,152,44.8
"01003","5","81219","77","0","2023","1","","Baldwin County, Alabama","Private","NAICS 81219 Other personal care services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",22,57,58,58,397764,269185,3987,531,"",1.00,0.60,0.60,0.59,0.77,0.58,1.49,1.29,"",7,46.7,-4,-6.6,0,0.0,3,5.5,66153,19.9,20347,8.2,-644,-13.9,91,20.7
"01003","5","81219","77","0","2023","2","","Baldwin County, Alabama","Private","NAICS 81219 Other personal care services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",21,58,61,60,498069,105182,1035,642,"",0.92,0.58,0.61,0.58,0.84,0.56,0.82,1.43,"",3,16.7,-3,-4.9,-2,-3.2,-3,-4.8,100857,25.4,-28783,-21.5,-1206,-53.8,152,31.0
"01003","5","81219","77","0","2023","3","","Baldwin County, Alabama","Private","NAICS 81219 Other personal care services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",23,55,52,55,484579,61206,761,690,"",1.00,0.54,0.51,0.56,0.80,0.41,0.72,1.49,"",2,9.5,-3,-5.2,-8,-13.3,-3,-5.2,59578,14.0,-28570,-31.8,-899,-54.2,133,23.9
"01015","5","81219","77","0","2023","1","","Calhoun County, Alabama","Private","NAICS 81219 Other personal care services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,15,16,18,137753,90823,429,649,"",0.80,0.29,0.30,0.34,0.45,0.43,0.34,1.46,"",1,20.0,-5,-25.0,-3,-15.8,-3,-14.3,4991,3.8,-7774,-7.9,-556,-56.4,138,27.0
