"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","812191","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 812191 Diet and weight reducing centers","State, NAICS 6-digit -- by ownership sector","All establishment sizes",57,239,246,240,1873613,1114661,11702,596,"",1.44,1.28,1.32,1.30,1.13,1.34,2.51,0.86,"",4,7.5,-5,-2.0,13,5.6,5,2.1,390677,26.3,70802,6.8,-7319,-38.5,115,23.9
"01000","5","812191","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 812191 Diet and weight reducing centers","State, NAICS 6-digit -- by ownership sector","All establishment sizes",58,214,232,230,1869814,273589,3739,638,"",1.47,1.26,1.51,1.49,1.14,1.40,2.99,0.81,"",2,3.6,-17,-7.4,-8,-3.3,-12,-5.0,323964,21.0,-80277,-22.7,-2753,-42.4,138,27.6
"01000","5","812191","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 812191 Diet and weight reducing centers","State, NAICS 6-digit -- by ownership sector","All establishment sizes",57,228,236,236,1994485,241658,2819,658,"",1.59,1.51,1.57,1.62,1.38,1.67,3.04,0.88,"",1,1.8,-9,-3.8,-1,-0.4,1,0.4,337140,20.3,41438,20.7,-316,-10.1,119,22.1
"01001","5","812191","78","0","2023","1","N","Autauga County, Alabama","Private","NAICS 812191 Diet and weight reducing centers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",3.70,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","812191","78","0","2023","2","N","Autauga County, Alabama","Private","NAICS 812191 Diet and weight reducing centers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",3.72,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","812191","78","0","2023","3","N","Autauga County, Alabama","Private","NAICS 812191 Diet and weight reducing centers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",4.08,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","812191","78","0","2023","1","N","Baldwin County, Alabama","Private","NAICS 812191 Diet and weight reducing centers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",1.92,0,0,0,0,0,0,0,"N",3,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","812191","78","0","2023","2","N","Baldwin County, Alabama","Private","NAICS 812191 Diet and weight reducing centers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",1.91,0,0,0,0,0,0,0,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","812191","78","0","2023","3","N","Baldwin County, Alabama","Private","NAICS 812191 Diet and weight reducing centers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",2.10,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","812191","78","0","2023","1","N","Calhoun County, Alabama","Private","NAICS 812191 Diet and weight reducing centers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.40,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
