"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","8129","56","0","2023","1","","Alabama -- Statewide","Private","NAICS 8129 Other personal services","State, NAICS 4-digit -- by ownership sector","All establishment sizes",567,3097,3171,3115,24710661,15928118,131196,608,"",0.70,0.59,0.60,0.58,0.64,0.62,0.89,1.09,"",66,13.2,401,14.9,448,16.5,306,10.9,4814058,24.2,2905645,22.3,-30226,-18.7,50,9.0
"01000","5","8129","56","0","2023","2","","Alabama -- Statewide","Private","NAICS 8129 Other personal services","State, NAICS 4-digit -- by ownership sector","All establishment sizes",581,3235,3285,3353,24882265,7037484,69352,582,"",0.71,0.60,0.60,0.60,0.61,0.87,1.16,1.01,"",75,14.8,300,10.2,312,10.5,290,9.5,4516160,22.2,184638,2.7,-31240,-31.1,58,11.1
"01000","5","8129","56","0","2023","3","","Alabama -- Statewide","Private","NAICS 8129 Other personal services","State, NAICS 4-digit -- by ownership sector","All establishment sizes",590,3382,3413,3411,24402033,5013789,58138,552,"",0.71,0.60,0.61,0.62,0.57,0.76,1.20,0.94,"",70,13.5,261,8.4,283,9.0,296,9.5,1476918,6.4,-94655,-1.9,-20710,-26.3,-13,-2.3
"01001","5","8129","76","0","2023","1","N","Autauga County, Alabama","Private","NAICS 8129 Other personal services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",0.73,0,0,0,0,0,0,0,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","8129","76","0","2023","2","N","Autauga County, Alabama","Private","NAICS 8129 Other personal services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",0.72,0,0,0,0,0,0,0,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","8129","76","0","2023","3","N","Autauga County, Alabama","Private","NAICS 8129 Other personal services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.52,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","8129","76","0","2023","1","","Baldwin County, Alabama","Private","NAICS 8129 Other personal services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",47,254,260,254,1695327,1281516,8968,509,"",1.11,1.24,1.26,1.20,1.42,1.28,1.60,1.15,"",4,9.3,22,9.5,29,12.6,22,9.5,258453,18.0,168363,15.1,-3216,-26.4,32,6.7
"01003","5","8129","76","0","2023","2","","Baldwin County, Alabama","Private","NAICS 8129 Other personal services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",48,256,258,272,1872244,549009,4656,550,"",1.10,1.18,1.17,1.19,1.38,1.35,1.77,1.17,"",6,14.3,16,6.7,18,7.5,18,7.1,240459,14.7,-57660,-9.5,-2831,-37.8,37,7.2
"01003","5","8129","76","0","2023","3","","Baldwin County, Alabama","Private","NAICS 8129 Other personal services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",46,273,269,274,1762902,375520,3222,499,"",1.03,1.19,1.18,1.24,1.21,1.15,1.47,1.00,"",2,4.5,8,3.0,0,0.0,8,3.0,-44429,-2.5,-124554,-24.9,-2542,-44.1,-22,-4.2
"01005","5","8129","76","0","2023","1","","Barbour County, Alabama","Private","NAICS 8129 Other personal services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,19,18,18,67845,67845,191,285,"",0.98,0.95,0.90,0.90,0.64,0.74,0.44,0.70,"",0,0.0,11,137.5,8,80.0,10,125.0,29978,79.2,29978,79.2,-75,-28.2,-51,-15.2
