"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"04000","5","812922","58","0","2023","1","N","Arizona -- Statewide","Private","NAICS 812922 One-hour photofinishing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",1.20,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04000","5","812922","58","0","2023","2","N","Arizona -- Statewide","Private","NAICS 812922 One-hour photofinishing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",1.21,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04000","5","812922","58","0","2023","3","N","Arizona -- Statewide","Private","NAICS 812922 One-hour photofinishing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",1.22,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04013","5","812922","78","0","2023","1","N","Maricopa County, Arizona","Private","NAICS 812922 One-hour photofinishing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.63,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04013","5","812922","78","0","2023","2","N","Maricopa County, Arizona","Private","NAICS 812922 One-hour photofinishing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.64,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04013","5","812922","78","0","2023","3","N","Maricopa County, Arizona","Private","NAICS 812922 One-hour photofinishing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.65,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04019","5","812922","78","0","2023","1","N","Pima County, Arizona","Private","NAICS 812922 One-hour photofinishing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",7.63,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04019","5","812922","78","0","2023","2","N","Pima County, Arizona","Private","NAICS 812922 One-hour photofinishing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",7.72,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04019","5","812922","78","0","2023","3","N","Pima County, Arizona","Private","NAICS 812922 One-hour photofinishing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",7.84,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06000","5","812922","58","0","2023","1","","California -- Statewide","Private","NAICS 812922 One-hour photofinishing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",24,84,86,86,802564,476084,11722,723,"",1.16,1.58,1.59,1.59,1.56,2.05,1.74,0.98,"",-2,-7.7,-3,-3.4,-6,-6.5,-10,-10.4,-194590,-19.5,-57006,-10.7,-1896,-13.9,-114,-13.6
"06000","5","812922","58","0","2023","2","","California -- Statewide","Private","NAICS 812922 One-hour photofinishing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",24,85,92,89,847309,112845,2031,735,"",1.20,1.56,1.66,1.59,1.55,1.97,1.67,0.97,"",-2,-7.7,-11,-11.5,-4,-4.2,-7,-7.3,-315147,-27.1,-4136,-3.5,-759,-27.2,-196,-21.1
"06000","5","812922","58","0","2023","3","","California -- Statewide","Private","NAICS 812922 One-hour photofinishing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",24,90,91,80,808654,73680,1283,715,"",1.22,1.65,1.69,1.51,1.51,1.60,1.19,0.93,"",-2,-7.7,-10,-10.0,-13,-12.5,-23,-22.3,-404585,-33.3,-32477,-30.6,-1306,-50.4,-197,-21.6
"06013","5","812922","78","0","2023","1","N","Contra Costa County, California","Private","NAICS 812922 One-hour photofinishing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.26,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06013","5","812922","78","0","2023","2","N","Contra Costa County, California","Private","NAICS 812922 One-hour photofinishing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.33,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06013","5","812922","78","0","2023","3","N","Contra Costa County, California","Private","NAICS 812922 One-hour photofinishing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.36,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06025","5","812922","78","0","2023","1","N","Imperial County, California","Private","NAICS 812922 One-hour photofinishing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",9.43,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06025","5","812922","78","0","2023","2","N","Imperial County, California","Private","NAICS 812922 One-hour photofinishing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",9.88,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06025","5","812922","78","0","2023","3","N","Imperial County, California","Private","NAICS 812922 One-hour photofinishing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",10.00,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06037","5","812922","78","0","2023","1","","Los Angeles County, California","Private","NAICS 812922 One-hour photofinishing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",11,46,46,45,430981,236240,5170,726,"",1.69,3.45,3.40,3.33,3.70,4.02,3.11,1.09,"",0,0.0,9,24.3,7,17.9,5,12.5,104157,31.9,14005,6.3,638,14.1,76,11.7
"06037","5","812922","78","0","2023","2","","Los Angeles County, California","Private","NAICS 812922 One-hour photofinishing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",11,45,48,47,434337,59075,1060,716,"",1.76,3.31,3.50,3.40,3.54,4.16,3.69,1.04,"",0,0.0,3,7.1,8,20.0,6,14.6,72570,20.1,2833,5.0,-128,-10.8,37,5.4
"06037","5","812922","78","0","2023","3","","Los Angeles County, California","Private","NAICS 812922 One-hour photofinishing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",11,46,45,45,393408,30584,561,668,"",1.79,3.41,3.39,3.46,3.25,2.83,2.37,0.95,"",0,0.0,1,2.2,1,2.3,2,4.7,12204,3.2,-12698,-29.3,-273,-32.7,2,0.3
"06059","5","812922","78","0","2023","1","","Orange County, California","Private","NAICS 812922 One-hour photofinishing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,16,16,17,130241,98355,2007,613,"",2.41,3.26,3.24,3.44,3.05,4.25,3.07,0.92,"",0,0.0,1,6.7,1,6.7,1,6.2,27734,27.1,18948,23.9,-65,-3.1,99,19.3
"06059","5","812922","78","0","2023","2","","Orange County, California","Private","NAICS 812922 One-hour photofinishing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,17,17,15,138458,20776,425,652,"",2.48,3.41,3.37,2.95,3.15,3.93,4.17,0.97,"",0,0.0,1,6.2,1,6.2,0,0.0,20470,17.3,783,3.9,-145,-25.4,73,12.6
