"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","2","92112","57","0","2023","1","","Alabama -- Statewide","State Government","NAICS 92112 Legislative bodies","State, NAICS 5-digit -- by ownership sector","All establishment sizes",9,273,274,273,4423302,47000,94,1245,"",1.34,0.69,0.67,0.67,0.80,0.37,1.68,1.19,"",0,0.0,8,3.0,10,3.8,5,1.9,770979,21.1,7000,17.5,-586,-86.2,187,17.7
"01000","2","92112","57","0","2023","2","","Alabama -- Statewide","State Government","NAICS 92112 Legislative bodies","State, NAICS 5-digit -- by ownership sector","All establishment sizes",9,244,238,221,4677098,1000,2,1535,"",1.34,0.61,0.62,0.59,0.83,0.01,0.02,1.37,"",0,0.0,-21,-7.9,-26,-9.8,-45,-16.9,598789,14.7,1000,100.0,2,100.0,351,29.6
"01000","2","92112","57","0","2023","3","","Alabama -- Statewide","State Government","NAICS 92112 Legislative bodies","State, NAICS 5-digit -- by ownership sector","All establishment sizes",9,248,242,225,3760404,5417,11,1214,"",1.34,0.67,0.66,0.62,0.65,0.04,0.10,1.00,"",0,0.0,25,11.2,21,9.5,5,2.3,-230338,-5.8,667,14.0,-22,-66.7,-173,-12.5
"01000","3","92112","57","0","2023","1","","Alabama -- Statewide","Local Government","NAICS 92112 Legislative bodies","State, NAICS 5-digit -- by ownership sector","All establishment sizes",8,410,414,409,3828082,1493035,2986,716,"",0.22,0.12,0.12,0.12,0.08,2.14,0.76,0.71,"",0,0.0,51,14.2,47,12.8,52,14.6,784413,25.8,229081,18.1,-5862,-66.3,67,10.3
"01000","3","92112","57","0","2023","2","","Alabama -- Statewide","Local Government","NAICS 92112 Legislative bodies","State, NAICS 5-digit -- by ownership sector","All establishment sizes",8,416,418,410,4003294,302572,606,743,"",0.22,0.12,0.12,0.11,0.08,1.71,0.59,0.71,"",0,0.0,5,1.2,7,1.7,-1,-0.2,439243,12.3,-471213,-60.9,-4811,-88.8,76,11.4
"01000","3","92112","57","0","2023","3","","Alabama -- Statewide","Local Government","NAICS 92112 Legislative bodies","State, NAICS 5-digit -- by ownership sector","All establishment sizes",8,418,416,395,3968902,237352,475,745,"",0.22,0.11,0.11,0.11,0.08,1.26,0.43,0.72,"",0,0.0,8,2.0,19,4.8,4,1.0,296088,8.1,8415,3.7,-1128,-70.4,38,5.4
"01043","3","92112","77","0","2023","1","N","Cullman County, Alabama","Local Government","NAICS 92112 Legislative bodies","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.97,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01043","3","92112","77","0","2023","2","N","Cullman County, Alabama","Local Government","NAICS 92112 Legislative bodies","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.95,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01043","3","92112","77","0","2023","3","N","Cullman County, Alabama","Local Government","NAICS 92112 Legislative bodies","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.95,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01045","3","92112","77","0","2023","1","N","Dale County, Alabama","Local Government","NAICS 92112 Legislative bodies","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",3.99,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01045","3","92112","77","0","2023","2","N","Dale County, Alabama","Local Government","NAICS 92112 Legislative bodies","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",3.97,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01045","3","92112","77","0","2023","3","N","Dale County, Alabama","Local Government","NAICS 92112 Legislative bodies","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",3.94,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01071","2","92112","77","0","2023","1","","Jackson County, Alabama","State Government","NAICS 92112 Legislative bodies","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,14162,8000,16,1089,"",19.64,0.34,0.33,0.33,0.45,8.12,34.22,1.35,"",0,0.0,0,0.0,0,0.0,0,0.0,2277,19.2,0,0.0,-440,-96.5,175,19.1
"01071","2","92112","77","0","2023","2","","Jackson County, Alabama","State Government","NAICS 92112 Legislative bodies","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,14162,0,0,1089,"",19.57,0.33,0.35,0.35,0.41,0.00,0.00,1.20,"",0,0.0,0,0.0,0,0.0,0,0.0,1287,10.0,0,0.0,0,0.0,99,10.0
