"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","2","922150","58","0","2023","1","","Alabama -- Statewide","State Government","NAICS 922150 Parole offices and probation offices","State, NAICS 6-digit -- by ownership sector","All establishment sizes",67,801,807,799,11109305,0,0,1065,"",5.40,3.00,3.02,2.99,3.09,0.00,0.00,1.03,"",0,0.0,-1,-0.1,12,1.5,3,0.4,2580540,30.3,0,0.0,0,0.0,243,29.6
"01000","2","922150","58","0","2023","2","","Alabama -- Statewide","State Government","NAICS 922150 Parole offices and probation offices","State, NAICS 6-digit -- by ownership sector","All establishment sizes",67,793,789,786,11148007,0,0,1086,"",5.39,2.95,2.94,2.93,2.96,0.00,0.00,1.01,"",0,0.0,-6,-0.8,-7,-0.9,-15,-1.9,859721,8.4,0,0.0,0,0.0,95,9.6
"01000","2","922150","58","0","2023","3","","Alabama -- Statewide","State Government","NAICS 922150 Parole offices and probation offices","State, NAICS 6-digit -- by ownership sector","All establishment sizes",67,794,790,787,9274262,0,0,903,"",5.40,2.91,2.90,2.90,2.32,0.00,0.00,0.80,"",0,0.0,-9,-1.1,-14,-1.7,-16,-2.0,-949966,-9.3,0,0.0,0,0.0,-76,-7.8
"01000","3","922150","58","0","2023","1","","Alabama -- Statewide","Local Government","NAICS 922150 Parole offices and probation offices","State, NAICS 6-digit -- by ownership sector","All establishment sizes",4,13,13,13,265543,101631,203,1571,"",1.13,0.06,0.06,0.06,0.08,2.28,11.45,1.43,"",0,0.0,-1,-7.1,-1,-7.1,-1,-7.1,108531,69.1,-2596,-2.5,-527,-72.2,708,82.0
"01000","3","922150","58","0","2023","2","","Alabama -- Statewide","Local Government","NAICS 922150 Parole offices and probation offices","State, NAICS 6-digit -- by ownership sector","All establishment sizes",4,14,14,14,148311,6245,12,815,"",1.13,0.06,0.06,0.06,0.04,1.60,4.55,0.73,"",0,0.0,-1,-6.7,-1,-6.7,-1,-6.7,3126,2.2,-5741,-47.9,-72,-85.7,70,9.4
"01000","3","922150","58","0","2023","3","","Alabama -- Statewide","Local Government","NAICS 922150 Parole offices and probation offices","State, NAICS 6-digit -- by ownership sector","All establishment sizes",4,14,14,14,169210,3780,8,930,"",1.13,0.06,0.06,0.06,0.05,1.25,3.63,0.77,"",0,0.0,0,0.0,1,7.7,1,7.7,824,0.5,779,26.0,-13,-61.9,-41,-4.2
"01001","2","922150","78","0","2023","1","","Autauga County, Alabama","State Government","NAICS 922150 Parole offices and probation offices","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,7,7,7,133750,0,0,1470,"",11.84,4.61,4.59,4.59,8.02,0.00,0.00,1.75,"",0,0.0,-1,-12.5,-1,-12.5,0,0.0,31069,30.3,0,0.0,0,0.0,440,42.7
"01001","2","922150","78","0","2023","2","","Autauga County, Alabama","State Government","NAICS 922150 Parole offices and probation offices","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,7,7,7,134216,0,0,1475,"",11.86,4.57,4.55,4.55,7.33,0.00,0.00,1.61,"",0,0.0,0,0.0,0,0.0,0,0.0,10351,8.4,0,0.0,0,0.0,114,8.4
"01001","2","922150","78","0","2023","3","","Autauga County, Alabama","State Government","NAICS 922150 Parole offices and probation offices","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,7,7,7,111657,0,0,1227,"",11.76,4.47,4.50,4.54,5.81,0.00,0.00,1.29,"",0,0.0,0,0.0,0,0.0,0,0.0,-11437,-9.3,0,0.0,0,0.0,-126,-9.3
"01003","2","922150","78","0","2023","1","","Baldwin County, Alabama","State Government","NAICS 922150 Parole offices and probation offices","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,21,21,21,383506,0,0,1405,"",1.53,2.03,2.01,1.99,3.43,0.00,0.00,1.71,"",0,0.0,1,5.0,1,5.0,0,0.0,89084,30.3,0,0.0,0,0.0,291,26.1
