"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","2","922160","58","0","2023","1","","Alabama -- Statewide","State Government","NAICS 922160 Fire protection","State, NAICS 6-digit -- by ownership sector","All establishment sizes",2,22,21,18,49055,0,0,186,"",1.19,0.75,0.66,0.55,0.14,0.00,0.00,0.22,"",0,0.0,0,0.0,1,5.0,-2,-10.0,-2761,-5.3,0,0.0,0,0.0,-7,-3.6
"01000","2","922160","58","0","2023","2","","Alabama -- Statewide","State Government","NAICS 922160 Fire protection","State, NAICS 6-digit -- by ownership sector","All establishment sizes",2,21,19,22,54163,0,0,202,"",1.07,0.63,0.56,0.67,0.14,0.00,0.00,0.23,"",0,0.0,-5,-19.2,-7,-26.9,-1,-4.3,1542,2.9,0,0.0,0,0.0,40,24.7
"01000","2","922160","58","0","2023","3","","Alabama -- Statewide","State Government","NAICS 922160 Fire protection","State, NAICS 6-digit -- by ownership sector","All establishment sizes",2,20,22,23,55465,0,0,197,"",1.00,0.63,0.67,0.68,0.13,0.00,0.00,0.20,"",0,0.0,-5,-20.0,0,0.0,-1,-4.2,1012,1.9,0,0.0,0,0.0,20,11.3
"01000","3","922160","58","0","2023","1","","Alabama -- Statewide","Local Government","NAICS 922160 Fire protection","State, NAICS 6-digit -- by ownership sector","All establishment sizes",20,624,642,627,7084702,1535005,3581,864,"",0.29,0.21,0.22,0.21,0.13,0.45,0.50,0.60,"",2,11.1,33,5.6,39,6.5,34,5.7,987068,16.2,162349,11.8,-6732,-65.3,77,9.8
"01000","3","922160","58","0","2023","2","","Alabama -- Statewide","Local Government","NAICS 922160 Fire protection","State, NAICS 6-digit -- by ownership sector","All establishment sizes",19,618,647,618,7198299,256330,568,882,"",0.27,0.21,0.22,0.21,0.13,0.24,0.21,0.61,"",1,5.6,12,2.0,47,7.8,-9,-1.4,791370,12.4,-104953,-29.1,-2342,-80.5,75,9.3
"01000","3","922160","58","0","2023","3","","Alabama -- Statewide","Local Government","NAICS 922160 Fire protection","State, NAICS 6-digit -- by ownership sector","All establishment sizes",19,609,620,618,7232027,148863,368,904,"",0.27,0.21,0.21,0.21,0.12,0.15,0.16,0.59,"",1,5.6,-17,-2.7,-5,-0.8,-2,-0.3,469081,6.9,-36019,-19.5,-1072,-74.4,70,8.4
"01007","3","922160","78","0","2023","1","N","Bibb County, Alabama","Local Government","NAICS 922160 Fire protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",5.30,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","3","922160","78","0","2023","2","N","Bibb County, Alabama","Local Government","NAICS 922160 Fire protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",5.18,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","3","922160","78","0","2023","3","N","Bibb County, Alabama","Local Government","NAICS 922160 Fire protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",5.16,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","3","922160","78","0","2023","1","N","Blount County, Alabama","Local Government","NAICS 922160 Fire protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.40,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","3","922160","78","0","2023","2","N","Blount County, Alabama","Local Government","NAICS 922160 Fire protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.40,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","3","922160","78","0","2023","3","N","Blount County, Alabama","Local Government","NAICS 922160 Fire protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.40,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01017","3","922160","78","0","2023","1","N","Chambers County, Alabama","Local Government","NAICS 922160 Fire protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.91,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01017","3","922160","78","0","2023","2","N","Chambers County, Alabama","Local Government","NAICS 922160 Fire protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.94,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01017","3","922160","78","0","2023","3","N","Chambers County, Alabama","Local Government","NAICS 922160 Fire protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.92,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01043","3","922160","78","0","2023","1","N","Cullman County, Alabama","Local Government","NAICS 922160 Fire protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.01,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01043","3","922160","78","0","2023","2","N","Cullman County, Alabama","Local Government","NAICS 922160 Fire protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.00,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01043","3","922160","78","0","2023","3","N","Cullman County, Alabama","Local Government","NAICS 922160 Fire protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.99,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01053","3","922160","78","0","2023","1","N","Escambia County, Alabama","Local Government","NAICS 922160 Fire protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.40,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01053","3","922160","78","0","2023","2","N","Escambia County, Alabama","Local Government","NAICS 922160 Fire protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.37,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01053","3","922160","78","0","2023","3","N","Escambia County, Alabama","Local Government","NAICS 922160 Fire protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.40,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01067","3","922160","78","0","2023","1","N","Henry County, Alabama","Local Government","NAICS 922160 Fire protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",5.47,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01067","3","922160","78","0","2023","2","-","Henry County, Alabama","Local Government","NAICS 922160 Fire protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",-1,-100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01067","3","922160","78","0","2023","3","-","Henry County, Alabama","Local Government","NAICS 922160 Fire protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",-1,-100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01073","2","922160","78","0","2023","1","","Jefferson County, Alabama","State Government","NAICS 922160 Fire protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,22,21,18,49055,0,0,186,"",8.29,4.26,3.80,3.18,0.69,0.00,0.00,0.18,"",0,0.0,0,0.0,1,5.0,-2,-10.0,-2761,-5.3,0,0.0,0,0.0,-7,-3.6
"01073","2","922160","78","0","2023","2","","Jefferson County, Alabama","State Government","NAICS 922160 Fire protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,21,19,22,54163,0,0,202,"",7.41,3.61,3.21,3.83,0.72,0.00,0.00,0.20,"",0,0.0,-5,-19.2,-7,-26.9,-1,-4.3,1542,2.9,0,0.0,0,0.0,40,24.7
"01073","2","922160","78","0","2023","3","","Jefferson County, Alabama","State Government","NAICS 922160 Fire protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,20,22,23,55465,0,0,197,"",6.94,3.59,3.85,3.88,0.68,0.00,0.00,0.18,"",0,0.0,-5,-20.0,0,0.0,-1,-4.2,1012,1.9,0,0.0,0,0.0,20,11.3
"01073","3","922160","78","0","2023","1","","Jefferson County, Alabama","Local Government","NAICS 922160 Fire protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,240,251,242,2441785,525355,1050,769,"",0.80,0.47,0.49,0.47,0.21,0.86,0.87,0.45,"",0,0.0,6,2.6,16,6.8,9,3.9,233483,10.6,28125,5.7,-2431,-69.8,43,5.9
"01073","3","922160","78","0","2023","2","","Jefferson County, Alabama","Local Government","NAICS 922160 Fire protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,241,249,244,2516642,111564,223,791,"",0.79,0.47,0.49,0.47,0.23,0.63,0.54,0.48,"",0,0.0,3,1.3,16,6.9,0,0.0,311147,14.1,-9435,-7.8,-624,-73.7,79,11.1
"01073","3","922160","78","0","2023","3","","Jefferson County, Alabama","Local Government","NAICS 922160 Fire protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,243,244,244,2588870,67069,135,817,"",0.79,0.47,0.48,0.48,0.22,0.40,0.38,0.47,"",0,0.0,1,0.4,3,1.2,4,1.7,175034,7.3,-7720,-10.3,-388,-74.2,47,6.1
"01081","3","922160","78","0","2023","1","N","Lee County, Alabama","Local Government","NAICS 922160 Fire protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.07,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01081","3","922160","78","0","2023","2","N","Lee County, Alabama","Local Government","NAICS 922160 Fire protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.06,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01081","3","922160","78","0","2023","3","N","Lee County, Alabama","Local Government","NAICS 922160 Fire protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.05,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01101","3","922160","78","0","2023","1","N","Montgomery County, Alabama","Local Government","NAICS 922160 Fire protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.31,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01101","3","922160","78","0","2023","2","N","Montgomery County, Alabama","Local Government","NAICS 922160 Fire protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.31,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01101","3","922160","78","0","2023","3","N","Montgomery County, Alabama","Local Government","NAICS 922160 Fire protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.31,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01117","3","922160","78","0","2023","1","N","Shelby County, Alabama","Local Government","NAICS 922160 Fire protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.64,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01117","3","922160","78","0","2023","2","N","Shelby County, Alabama","Local Government","NAICS 922160 Fire protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.64,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01117","3","922160","78","0","2023","3","N","Shelby County, Alabama","Local Government","NAICS 922160 Fire protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.64,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01125","3","922160","78","0","2023","1","N","Tuscaloosa County, Alabama","Local Government","NAICS 922160 Fire protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.43,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01125","3","922160","78","0","2023","2","N","Tuscaloosa County, Alabama","Local Government","NAICS 922160 Fire protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.43,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01125","3","922160","78","0","2023","3","N","Tuscaloosa County, Alabama","Local Government","NAICS 922160 Fire protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.43,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02000","3","922160","58","0","2023","1","","Alaska -- Statewide","Local Government","NAICS 922160 Fire protection","State, NAICS 6-digit -- by ownership sector","All establishment sizes",8,107,100,110,1127470,1127470,17861,821,"",0.71,0.25,0.23,0.25,0.12,1.14,2.78,0.51,"",0,0.0,-8,-7.0,10,11.1,0,0.0,128104,12.8,128104,12.8,-2893,-13.9,89,12.2
"02000","3","922160","58","0","2023","2","","Alaska -- Statewide","Local Government","NAICS 922160 Fire protection","State, NAICS 6-digit -- by ownership sector","All establishment sizes",8,98,119,118,1174779,1134053,18352,809,"",0.71,0.22,0.26,0.24,0.11,0.96,2.56,0.48,"",0,0.0,-11,-10.1,-2,-1.7,-8,-6.3,-21132,-1.8,6795,0.6,-5455,-22.9,34,4.4
