"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","923120","58","0","2023","1","","Alabama -- Statewide","Federal Government","NAICS 923120 Administration of public health programs","State, NAICS 6-digit -- by ownership sector","All establishment sizes",8,50,49,48,1479397,0,0,2322,"",0.84,0.06,0.06,0.06,0.06,0.00,0.00,1.07,"",3,60.0,32,177.8,18,58.1,23,92.0,1095942,285.8,0,0.0,0,0.0,1126,94.1
"01000","1","923120","58","0","2023","2","","Alabama -- Statewide","Federal Government","NAICS 923120 Administration of public health programs","State, NAICS 6-digit -- by ownership sector","All establishment sizes",8,53,60,61,1439905,0,0,1910,"",0.81,0.06,0.07,0.07,0.06,0.00,0.00,0.93,"",2,33.3,28,112.0,32,114.3,29,90.6,779192,117.9,0,0.0,0,0.0,116,6.5
"01000","1","923120","58","0","2023","3","","Alabama -- Statewide","Federal Government","NAICS 923120 Administration of public health programs","State, NAICS 6-digit -- by ownership sector","All establishment sizes",8,77,74,64,1862350,0,0,1999,"",0.79,0.09,0.09,0.07,0.07,0.00,0.00,0.86,"",1,14.3,44,133.3,43,138.7,21,48.8,975306,110.0,0,0.0,0,0.0,86,4.5
"01000","2","923120","58","0","2023","1","","Alabama -- Statewide","State Government","NAICS 923120 Administration of public health programs","State, NAICS 6-digit -- by ownership sector","All establishment sizes",83,3418,3427,3421,49977059,0,0,1123,"",1.78,1.84,1.84,1.83,1.90,0.00,0.00,1.03,"",1,1.2,95,2.9,139,4.2,125,3.8,11586000,30.2,0,0.0,0,0.0,229,25.6
"01000","2","923120","58","0","2023","2","","Alabama -- Statewide","State Government","NAICS 923120 Administration of public health programs","State, NAICS 6-digit -- by ownership sector","All establishment sizes",83,3439,3439,3389,50910404,0,0,1144,"",1.75,1.83,1.83,1.79,1.82,0.00,0.00,1.00,"",0,0.0,45,1.3,51,1.5,39,1.2,5250093,11.5,0,0.0,0,0.0,104,10.0
"01000","2","923120","58","0","2023","3","","Alabama -- Statewide","State Government","NAICS 923120 Administration of public health programs","State, NAICS 6-digit -- by ownership sector","All establishment sizes",83,3414,3430,3459,43680659,0,0,978,"",1.76,1.80,1.81,1.82,1.46,0.00,0.00,0.81,"",0,0.0,68,2.0,39,1.2,52,1.5,-2043090,-4.5,0,0.0,0,0.0,-62,-6.0
"01000","3","923120","58","0","2023","1","N","Alabama -- Statewide","Local Government","NAICS 923120 Administration of public health programs","State, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.20,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","923120","58","0","2023","2","N","Alabama -- Statewide","Local Government","NAICS 923120 Administration of public health programs","State, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.20,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","923120","58","0","2023","3","N","Alabama -- Statewide","Local Government","NAICS 923120 Administration of public health programs","State, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.20,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","2","923120","78","0","2023","1","","Autauga County, Alabama","State Government","NAICS 923120 Administration of public health programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,28,26,29,317022,0,0,881,"",3.14,2.65,2.44,2.71,2.60,0.00,0.00,1.00,"",0,0.0,17,154.5,15,136.4,18,163.6,71506,29.1,0,0.0,0,0.0,-836,-48.7
"01001","2","923120","78","0","2023","2","","Autauga County, Alabama","State Government","NAICS 923120 Administration of public health programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,32,36,35,409140,0,0,917,"",3.10,2.99,3.35,3.23,3.01,0.00,0.00,0.94,"",0,0.0,-2,-5.9,4,12.5,2,6.1,64443,18.7,0,0.0,0,0.0,114,14.2
"01001","2","923120","78","0","2023","3","","Autauga County, Alabama","State Government","NAICS 923120 Administration of public health programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,34,34,33,356737,0,0,815,"",3.09,3.12,3.14,3.05,2.48,0.00,0.00,0.80,"",0,0.0,0,0.0,2,6.2,1,3.1,12429,3.6,0,0.0,0,0.0,4,0.5
