"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","92313","57","0","2023","1","","Alabama -- Statewide","Federal Government","NAICS 92313 Administration of human resource programs (except education, public health, and veterans' affairs programs)","State, NAICS 5-digit -- by ownership sector","All establishment sizes",36,2607,2595,2589,49082553,0,0,1454,"",2.02,2.83,2.81,2.79,2.89,0.00,0.00,1.03,"",1,2.9,25,1.0,34,1.3,38,1.5,4505973,10.1,0,0.0,0,0.0,117,8.8
"01000","1","92313","57","0","2023","2","","Alabama -- Statewide","Federal Government","NAICS 92313 Administration of human resource programs (except education, public health, and veterans' affairs programs)","State, NAICS 5-digit -- by ownership sector","All establishment sizes",36,2624,2622,2670,58658076,0,0,1710,"",1.98,2.81,2.80,2.82,2.82,0.00,0.00,1.00,"",0,0.0,114,4.5,122,4.9,174,7.0,6799273,13.1,0,0.0,0,0.0,116,7.3
"01000","1","92313","57","0","2023","3","","Alabama -- Statewide","Federal Government","NAICS 92313 Administration of human resource programs (except education, public health, and veterans' affairs programs)","State, NAICS 5-digit -- by ownership sector","All establishment sizes",36,2658,2703,2725,52521990,0,0,1499,"",1.97,2.79,2.82,2.84,2.77,0.00,0.00,0.98,"",0,0.0,181,7.3,259,10.6,287,11.8,6675379,14.6,0,0.0,0,0.0,61,4.2
"01000","2","92313","57","0","2023","1","","Alabama -- Statewide","State Government","NAICS 92313 Administration of human resource programs (except education, public health, and veterans' affairs programs)","State, NAICS 5-digit -- by ownership sector","All establishment sizes",106,4965,4936,4942,66621380,0,0,1036,"",1.45,1.67,1.66,1.66,1.65,0.00,0.00,0.99,"",-1,-0.9,41,0.8,58,1.2,40,0.8,14327127,27.4,0,0.0,0,0.0,215,26.2
"01000","2","92313","57","0","2023","2","","Alabama -- Statewide","State Government","NAICS 92313 Administration of human resource programs (except education, public health, and veterans' affairs programs)","State, NAICS 5-digit -- by ownership sector","All establishment sizes",106,4983,4961,4959,66971059,0,0,1037,"",1.43,1.67,1.67,1.66,1.61,0.00,0.00,0.97,"",-1,-0.9,78,1.6,69,1.4,64,1.3,4863402,7.8,0,0.0,0,0.0,61,6.2
"01000","2","92313","57","0","2023","3","","Alabama -- Statewide","State Government","NAICS 92313 Administration of human resource programs (except education, public health, and veterans' affairs programs)","State, NAICS 5-digit -- by ownership sector","All establishment sizes",106,4953,4959,4939,56036460,0,0,871,"",1.43,1.64,1.64,1.64,1.25,0.00,0.00,0.76,"",-1,-0.9,42,0.9,46,0.9,24,0.5,-6043462,-9.7,0,0.0,0,0.0,-101,-10.4
"01000","3","92313","57","0","2023","1","N","Alabama -- Statewide","Local Government","NAICS 92313 Administration of human resource programs (except education, public health, and veterans' affairs programs)","State, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.14,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","92313","57","0","2023","2","N","Alabama -- Statewide","Local Government","NAICS 92313 Administration of human resource programs (except education, public health, and veterans' affairs programs)","State, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.14,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","92313","57","0","2023","3","N","Alabama -- Statewide","Local Government","NAICS 92313 Administration of human resource programs (except education, public health, and veterans' affairs programs)","State, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.14,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","1","92313","77","0","2023","1","","Autauga County, Alabama","Federal Government","NAICS 92313 Administration of human resource programs (except education, public health, and veterans' affairs programs)","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,24595,0,0,1892,"",8.25,0.19,0.19,0.19,0.31,0.00,0.00,1.65,"",0,0.0,0,0.0,0,0.0,0,0.0,957,4.0,0,0.0,0,0.0,74,4.1
