"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","926120","58","0","2023","1","","Alabama -- Statewide","Federal Government","NAICS 926120 Regulation and administration of transportation programs","State, NAICS 6-digit -- by ownership sector","All establishment sizes",16,686,685,673,12763148,0,0,1441,"",1.26,0.47,0.46,0.46,0.47,0.00,0.00,1.02,"",-5,-23.8,36,5.5,29,4.4,14,2.1,515935,4.2,0,0.0,0,0.0,3,0.2
"01000","1","926120","58","0","2023","2","","Alabama -- Statewide","Federal Government","NAICS 926120 Regulation and administration of transportation programs","State, NAICS 6-digit -- by ownership sector","All establishment sizes",16,682,683,684,14816293,0,0,1669,"",1.23,0.46,0.46,0.46,0.45,0.00,0.00,0.98,"",-5,-23.8,21,3.2,16,2.4,15,2.2,783110,5.6,0,0.0,0,0.0,47,2.9
"01000","1","926120","58","0","2023","3","","Alabama -- Statewide","Federal Government","NAICS 926120 Regulation and administration of transportation programs","State, NAICS 6-digit -- by ownership sector","All establishment sizes",16,691,694,698,14113486,0,0,1564,"",1.23,0.46,0.46,0.47,0.45,0.00,0.00,0.98,"",0,0.0,14,2.1,16,2.4,12,1.7,1254974,9.8,0,0.0,0,0.0,110,7.6
"01000","2","926120","58","0","2023","1","","Alabama -- Statewide","State Government","NAICS 926120 Regulation and administration of transportation programs","State, NAICS 6-digit -- by ownership sector","All establishment sizes",50,4229,4235,4252,59922359,0,0,1087,"",0.97,1.74,1.74,1.75,1.58,0.00,0.00,0.91,"",0,0.0,-67,-1.6,-10,-0.2,22,0.5,11920132,24.8,0,0.0,0,0.0,220,25.4
"01000","2","926120","58","0","2023","2","","Alabama -- Statewide","State Government","NAICS 926120 Regulation and administration of transportation programs","State, NAICS 6-digit -- by ownership sector","All establishment sizes",50,4230,4236,4253,59553980,0,0,1081,"",0.96,1.76,1.78,1.76,1.57,0.00,0.00,0.89,"",0,0.0,-13,-0.3,9,0.2,1,0.0,4075026,7.3,0,0.0,0,0.0,75,7.5
"01000","2","926120","58","0","2023","3","","Alabama -- Statewide","State Government","NAICS 926120 Regulation and administration of transportation programs","State, NAICS 6-digit -- by ownership sector","All establishment sizes",50,4262,4286,4267,50665264,0,0,912,"",0.95,1.74,1.76,1.76,1.22,0.00,0.00,0.70,"",0,0.0,8,0.2,43,1.0,65,1.5,-5812473,-10.3,0,0.0,0,0.0,-114,-11.1
"01000","3","926120","58","0","2023","1","N","Alabama -- Statewide","Local Government","NAICS 926120 Regulation and administration of transportation programs","State, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.57,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","926120","58","0","2023","2","N","Alabama -- Statewide","Local Government","NAICS 926120 Regulation and administration of transportation programs","State, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.56,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","926120","58","0","2023","3","N","Alabama -- Statewide","Local Government","NAICS 926120 Regulation and administration of transportation programs","State, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.56,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","2","926120","78","0","2023","1","","Autauga County, Alabama","State Government","NAICS 926120 Regulation and administration of transportation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,40,40,40,516588,0,0,993,"",2.84,2.90,2.88,2.87,2.94,0.00,0.00,1.02,"",0,0.0,0,0.0,1,2.6,1,2.6,106832,26.1,0,0.0,0,0.0,192,24.0
"01001","2","926120","78","0","2023","2","","Autauga County, Alabama","State Government","NAICS 926120 Regulation and administration of transportation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,40,40,39,509363,0,0,988,"",2.81,2.91,2.92,2.81,2.76,0.00,0.00,0.96,"",0,0.0,1,2.6,1,2.6,-1,-2.5,38021,8.1,0,0.0,0,0.0,66,7.2
"01001","2","926120","78","0","2023","3","","Autauga County, Alabama","State Government","NAICS 926120 Regulation and administration of transportation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,39,40,39,433338,0,0,847,"",2.77,2.78,2.87,2.82,2.17,0.00,0.00,0.77,"",0,0.0,-1,-2.5,0,0.0,0,0.0,-48029,-10.0,0,0.0,0,0.0,-86,-9.2
